request_id,account_id,amount,decision,reason_code,severity
W100055,A0032,2000.27,REJECT,DUPLICATE_REQUEST,70
W100040,A0008,4048.65,APPROVE,NONE,0
W100019,A0014,3352.79,REJECT,ACCOUNT_NOT_ACTIVE,95
W100031,A0027,26978.71,REJECT,ACCOUNT_NOT_ACTIVE,95
W100098,A0023,2861.14,APPROVE,NONE,0
W100056,A0033,2707.1,APPROVE,NONE,0
W100069,A0020,8906.77,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100104,A0034,7788.04,APPROVE,NONE,0
W100081,A0003,4398.52,HOLD,DEST_CHANGED_RECENTLY,45
W100026,A0021,1145.83,REJECT,DUPLICATE_REQUEST,70
W100094,A0034,13314.33,APPROVE,NONE,0
W100027,A0010,3721.95,APPROVE,NONE,0
W100064,A0032,4482.85,REJECT,DUPLICATE_REQUEST,70
W100004,A0026,21878.31,REJECT,DUPLICATE_REQUEST,70
W100096,A0024,796.96,REJECT,ACCOUNT_NOT_ACTIVE,95
W100113,A0004,489.45,APPROVE,NONE,0
W100036,A0025,1000.41,APPROVE,NONE,0
W100080,A0005,66495.36,REJECT,ACCOUNT_NOT_ACTIVE,95
W100064_DUP,A0032,4482.85,REJECT,DUPLICATE_REQUEST,70
W100084,A0031,3520.68,APPROVE,NONE,0
W100018,A0010,1255.85,APPROVE,NONE,0
W100010,A0034,11003.28,REJECT,DUPLICATE_REQUEST,70
W100118,A0018,1546.7,HOLD,DEST_CHANGED_RECENTLY,45
W100011,A0026,21420.67,HOLD,DEST_CHANGED_RECENTLY,45
W100105,A0022,992.26,REJECT,KYC_NOT_VERIFIED,100
W100045,A0030,27013.79,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100070,A0001,16280.18,REJECT,ACCOUNT_NOT_ACTIVE,95
W100078,A0001,6385.61,REJECT,ACCOUNT_NOT_ACTIVE,95
W100047,A0027,91705.36,REJECT,ACCOUNT_NOT_ACTIVE,95
W100000,A0035,4014.32,APPROVE,NONE,0
W100012,A0035,20942.37,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100042,A0030,7130.67,APPROVE,NONE,0
W100073_DUP,A0025,3063.75,REJECT,DUPLICATE_REQUEST,70
W100024,A0029,7760.06,APPROVE,NONE,0
